陌生的女儿,8.3,(54人评价),[美]金伯莉·麦克奎格（KimberlyMcCreight）/胡绯/中信出版社/2016-12-1/48.00元
烛烬,8.7,(1475人评价),[匈]马洛伊·山多尔/余泽民/译林出版社/2015-11/35.00
额尔古纳河右岸,9.0,(6091人评价),迟子建/北京十月文艺出版社/2005-12/29.00元
长恨歌,8.2,(26158人评价),王安忆/南海出版公司/2003-8/22.00元
金锁记,8.5,(27153人评价),张爱玲/哈尔滨出版社/2005年6月/13.5元
刺猬的优雅,8.1,(9387人评价),[法]妙莉叶·芭贝里/史妍、刘阳/南京大学出版社/2010-02/25.00元
奇爱博士,8.7,(262人评价),[英]彼得·乔治/严华容/北京时代华文书局/2016-8-1/39.00元
尘埃落定,8.4,(28379人评价),阿来/人民文学出版社/1998-3-1/22.0
布鲁克林有棵树,8.6,(5312人评价),贝蒂·史密斯（BettySmith)/方柏林/译林出版社/2009-7/28.00元
大江东去（共三部）,9.1,(1967人评价),阿耐/湖北长江出版集团，长江文艺出版社/2009年01月/118.00元
不朽,8.5,(9822人评价),米兰·昆德拉/王振孙、郑克鲁/上海译文出版社/2003-06/24.00
茧,7.7,(2193人评价),张悦然/人民文学出版社/2016-8-1/45.00元
金瓶梅,8.5,(3632人评价),兰陵笑笑生/齐鲁出版社/1991/268.00元
小径分岔的花园,9.1,(3570人评价),[阿根廷]博尔赫斯/王永年/浙江文艺出版社/2002-7/13.00元
去他的戒律,8.7,(68人评价),[法]弗朗索瓦·齐博/沈志明/北京联合出版公司·后浪出版公司/2016-12/36.00元
没有个性的人,9.0,(454人评价),(奥地利)罗伯特·穆齐尔/张荣昌/作家出版社/2001-1/60.00元
我的奋斗1,8.5,(271人评价),[挪威]卡尔·奥韦·克瑙斯高/林后/广西师范大学出版社·理想国/2016-1/68.00
出家,8.2,(345人评价),张忌/中信出版集团/中信·大方/2016-9/39.00
多田便利屋,8.1,(6385人评价),[日]三浦紫苑/田肖霞/人民文学出版社/2008-10/20.00元
小说机杼,8.9,(366人评价),[英]詹姆斯·伍德/黄远帆/河南大学出版社/2015-8-1/28.00元
杜拉拉升职记,7.8,(88580人评价),李可/陕西师范大学出版社/2007-9/26.00元
三体Ⅱ,9.2,(76448人评价),刘慈欣/重庆出版社/2008-5/32.00
嫌疑人X的献身,8.9,(122633人评价),[日]东野圭吾/刘子倩/南海出版公司/2008-9/28.00
教授与疯子,8.1,(397人评价),[英]西蒙·温切斯特/杨传纬/上海世纪出版集团北京世纪文景/2009-8/22.00元
盗墓笔记,8.4,(58259人评价),南派三叔/中国友谊出版公司/2007-1/26.80元
1988：我想和这个世界谈谈,7.9,(117437人评价),韩寒/国际文化出版公司/2010-9/25.00元
1Q84 BOOK 2,8.4,(47780人评价),[日]村上春树/施小炜/南海出版公司/2010-6/36.00元
红拂夜奔,8.6,(13705人评价),王小波/江苏文艺出版社/2005-1/28.00元
魔戒,9.5,(1490人评价),[英]J.R.R.托尔金/邓嘉宛、石中歌、杜蕴慈/上海人民出版社/2013-9/169.00元
浪花少年侦探团,7.6,(279人评价),[日]东野圭吾/张舟/南海出版公司/2017-1/35.00元
群山回唱,8.4,(8716人评价),[美]卡勒德·胡赛尼/康慨/上海人民出版社/2013-8/36.00元
当尼采哭泣,8.8,(2428人评价),（美）欧文D.亚隆（IrvinD.Yalom）/侯维之/机械工业出版社/2011-1-1/36.00元
爱有失落时,8.5,(135人评价),[美]马修·奎克/钱思文/未读·北京联合出版公司/2016-11/45.00元
孽子,8.7,(6840人评价),白先勇/花城出版社/2000-4-1/21.80元
肠子,8.2,(11933人评价),[美]恰克·帕拉尼克/景翔/吉林出版集团有限责任公司/2011-1/35.00元
雪中的印记,9.0,(138人评价),[英]特蕾西·里斯/佘玺/广西科学技术出版社/2016-11-11
大师和玛格丽特,8.9,(2470人评价),[俄]布尔加科夫/钱诚/人民文学出版社/2004-06/21.00元
爱与黑暗的故事,8.7,(987人评价),(以色列)阿摩司·奥兹/钟志清/译林出版社/2007-8/35.00元
玛格丽特小镇,7.3,(3227人评价),[美]加·泽文/李玉瑶/江苏凤凰文艺出版社/2016-6-1/36.00元
